Aviz_1,Aviz_2,Aviz_3,Aviz_4,Aviz_5,Aviz_6,Aviz_7,Aviz_8,Aviz_9,Aviz_10,Aviz_11,Aviz_12,Aviz_13,Aviz_14,Aviz_15,Aviz_16,Aviz_17,Aviz_18,Aviz_19,Aviz_20,Aviz_21,Aviz_22,Aviz_23,Aviz_24,Aviz_25,Aviz_26,Aviz_27,Aviz_28,Aviz_29,Aviz_30,Aviz_31,Aviz_32,Aviz_33,Aviz_34,Aviz_35,Aviz_36,Aviz_37,Aviz_38,Aviz_39,Aviz_40,Aviz_41,Aviz_42,Aviz_43,Aviz_44,Aviz_45,Aviz_46,Aviz_47,Aviz_48,Aviz_49,Aviz_50,Aviz_51,Aviz_52,Aviz_53,Aviz_54,Aviz_55,Aviz_56,Aviz_57,Aviz_58,Aviz_59,Aviz_60,Aviz_61,Aviz_62,Aviz_63,Aviz_64,Aviz_65,Aviz_66,Aviz_67,Aviz_68,Aviz_69,Aviz_70,Aviz_71,Aviz_72,Aviz_73,Aviz_74,Aviz_75,Aviz_76,Aviz_77,Aviz_78,Aviz_79,Aviz_80,Aviz_81,Aviz_82,Aviz_83,Aviz_84,Aviz_85,Aviz_86,Aviz_87,Aviz_88,Aviz_89,Aviz_90,Aviz_91,Aviz_92,Aviz_93,Aviz_94,Aviz_95,Aviz_96,Aviz_97,Aviz_98,Aviz_99,Aviz_100,Aviz_101,Aviz_102,Aviz_103,Aviz_104,Aviz_105,Aviz_106,Aviz_107,Aviz_108,Aviz_109,Aviz_110,Aviz_111,Aviz_112,Aviz_113,Aviz_114
0,5.86309997704023,6.01264302767022,5.05314614235587,5.23402687421753,6.42416045057972,5.9018541864889,5.39548356657461,0,5.02020758944536,0,5.37134421867246,4.82302375629516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.86309997704023,0,6.04904475664397,5.92586244316204,6.20005516061068,6.03661783800055,0,0,5.17350970604149,5.50991859995451,0,0,4.91539036568763,0,0,0,4.79159745548986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.01264302767022,6.04904475664397,0,6.06177084815937,5.80279119151182,6.86622592788938,6.85946476800415,6.6312859914619,5.71069474400275,6.34412579868228,0,6.80308115503053,5.88283714040004,0,5.51218147664706,0,6.02253552137813,5.49766138271623,0,5.50376276523766,0,5.78383074481413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.05314614235587,5.92586244316204,6.06177084815937,0,5.65724516052359,6.36654425530657,5.59075375886091,5.4451469528569,6.29052917942471,6.56981249813697,5.36173580771949,6.15577371525948,5.53894175785066,5.02973117371655,5.34552415310803,0,5.92321283815562,5.90653850350043,0,5.74345884715374,0,5.25851276055435,0,0,0,0,0,0,0,0,0,0,5.36386221072333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.23402687421753,6.20005516061068,5.80279119151182,5.65724516052359,0,6.31501570811005,5.17284123025184,0,5.86641661670823,6.57911225140075,6.03749520075814,5.41932247353881,5.05073358700409,5.79623045075386,0,5.3506658458207,5.19736815073276,5.99126895427407,0,5.28551289868917,0,0,0,0,0,4.97105206655826,0,0,0,0,0,0,5.28400834786221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.42416045057972,6.03661783800055,6.86622592788938,6.36654425530657,6.31501570811005,0,5.88326053678438,5.82120953333429,5.33607663909172,5.64319116159129,0,5.66081976871565,5.52969502881575,0,0,0,5.28532031289033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.9018541864889,0,6.85946476800415,5.59075375886091,5.17284123025184,5.88326053678438,0,5.90400111252348,0,0,0,5.9525271720314,5.34370820519427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.39548356657461,0,6.6312859914619,5.4451469528569,0,5.82120953333429,5.90400111252348,0,5.08199276341409,5.09812223095595,0,6.17879114696729,5.93617039547525,0,5.51189952805786,0,5.93918726341024,0,0,5.30004460859449,0,6.10085895027901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5.17350970604149,5.71069474400275,6.29052917942471,5.86641661670823,5.33607663909172,0,5.08199276341409,0,6.55983538209666,6.08935081446343,5.74829471988041,5.32249692660352,5.71984172364471,5.23759550420657,5.14585183754818,6.01652935460984,6.19639244614818,6.43523104065811,6.45413807807663,0,5.14471233479953,0,0,5.07175361680645,6.41174813737147,5.18227268617872,0,5.24327504750442,0,0,5.75987314786517,6.45066212518515,0,0,0,0,0,5.48989190598838,0,0,0,4.93201843531378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.02020758944536,5.50991859995451,6.34412579868228,6.56981249813697,6.57911225140075,5.64319116159129,0,5.09812223095595,6.55983538209666,0,6.61054170132557,5.78483357138937,5.61396960336783,6.16456314940061,5.41291263010226,5.87748593018694,5.85590810531895,6.68510671723393,5.45492270292779,5.82704185051516,0,0,0,0,0,5.56344540270802,0,0,5.5470618847519,0,0,0,5.91340551271575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5.36173580771949,6.03749520075814,0,0,0,6.08935081446343,6.61054170132557,0,0,0,6.52250737221064,0,6.05690094557319,0,6.23293589042343,5.64348762944045,5.37280474851008,0,0,0,5.6755417540636,5.58200830950353,5.8637632161965,0,0,6.04225051500683,0,0,5.31715974612605,6.31078503609866,0,5.58822788731564,0,0,0,5.49272343838132,5.79781091437649,5.08183715679055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.37134421867246,0,6.80308115503053,6.15577371525948,5.41932247353881,5.66081976871565,5.9525271720314,6.17879114696729,5.74829471988041,5.78483357138937,0,0,6.27719941230686,0,5.92990450203845,0,6.24328451348748,5.6216078340011,0,5.57679105507931,0,5.50672269242072,5.11029743253527,0,0,0,0,0,0,0,0,0,5.15543581105859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.82302375629516,4.91539036568763,5.88283714040004,5.53894175785066,5.05073358700409,5.52969502881575,5.34370820519427,5.93617039547525,5.32249692660352,5.61396960336783,0,6.27719941230686,0,0,5.88896615254912,0,6.20348484349891,0,0,5.52785411057554,0,6.05168874645529,5.15663292840357,0,0,0,0,0,0,0,5.18197284211001,0,0,0,0,0,4.91032623981345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5.02973117371655,5.79623045075386,0,0,0,5.71984172364471,6.16456314940061,6.52250737221064,0,0,0,0,6.49612924840336,0,5.97233232985379,5.39786107609326,4.91986052220496,5.49570484683128,0,0,5.26722182797177,5.22857694878842,5.3950164607977,0,0,5.60146410701331,0,0,0,5.71406061744794,0,5.23854807638493,0,0,0,4.93714933285742,5.60844862211124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5.51218147664706,5.34552415310803,0,0,0,5.51189952805786,5.23759550420657,5.41291263010226,0,5.92990450203845,5.88896615254912,0,0,0,5.86697591515871,0,0,5.15814340784483,0,5.67940914963837,4.82897439992146,0,0,0,0,0,0,0,4.52919603630105,0,0,0,0,0,4.47151508828665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5.3506658458207,0,0,0,5.14585183754818,5.87748593018694,6.05690094557319,0,0,6.49612924840336,0,0,0,5.87191794978443,5.16429694274246,0,5.38006681729742,0,0,6.37535897995998,5.95950704431306,5.21119269397959,0,4.96239366715177,6.2667755363853,5.06888005919625,0,5.0189364755668,5.99983535536809,0,5.97286387004858,0,0,5.15891244757679,5.66755763909677,6.2794246376306,5.16993418745542,0,4.89123649083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.79159745548986,6.02253552137813,5.92321283815562,5.19736815073276,5.28532031289033,0,5.93918726341024,6.01652935460984,5.85590810531895,0,6.24328451348748,6.20348484349891,0,5.86697591515871,0,0,5.25491257625068,5.29344825653761,5.91657672646785,0,5.85423036035341,5.05681928873731,0,0,0,4.91045649641169,0,0,0,0,0,5.34401851132661,0,0,0,5.14850820515589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5.49766138271623,5.90653850350043,5.99126895427407,0,0,0,6.19639244614818,6.68510671723393,6.23293589042343,5.6216078340011,0,5.97233232985379,0,5.87191794978443,5.25491257625068,0,5.29424545003229,5.33915121203212,0,0,0,0,0,5.27629330826499,0,0,6.47019863925472,0,0,0,5.72838588866505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95750139648558,0,0,0,0,0,0,0,0,0,5.53145591474509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6.43523104065811,5.45492270292779,5.64348762944045,0,0,5.39786107609326,0,5.16429694274246,5.29344825653761,5.29424545003229,0,5.60618650964803,0,0,0,5.55830317897498,5.83124322248838,6.61427902716894,0,0,5.70177290550768,0,0,6.36677218394563,6.62446415593837,0,5.63140467434166,0,0,0,6.13749564534418,5.6712349003345,5.36839743648344,0,5.4659433673848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5.50376276523766,5.74345884715374,5.28551289868917,0,0,5.30004460859449,6.45413807807663,5.82704185051516,5.37280474851008,5.57679105507931,5.52785411057554,4.91986052220496,5.15814340784483,0,5.91657672646785,5.33915121203212,5.60618650964803,0,0,5.12677807423936,0,0,0,0,0,0,0,0,0,0,5.05983974338473,0,0,0,5.02398671694505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,5.49570484683128,0,5.38006681729742,0,0,0,0,0,0,0,6.10353713030281,5.2304681245816,0,0,4.92457962275798,5.13795455090174,4.8802014831905,0,0,0,0,5.41947104784948,0,0,0,4.89990912212826,5.76580323268844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5.78383074481413,5.25851276055435,0,0,0,6.10085895027901,5.14471233479953,0,0,5.50672269242072,6.05168874645529,0,5.67940914963837,0,5.85423036035341,0,0,5.12677807423936,0,0,4.70380452805804,0,0,0,0,0,0,0,4.96299499416694,0,0,0,0,0,4.81267806859763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.11029743253527,5.15663292840357,0,4.82897439992146,0,5.05681928873731,0,0,0,0,4.70380452805804,0,0,0,0,4.06280172030251,0,0,0,4.17684638718596,0,0,0,0,0,4.16343767279035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5.6755417540636,0,0,5.26722182797177,0,6.37535897995998,0,0,5.55830317897498,0,6.10353713030281,0,0,0,5.9081089632623,5.13273996082406,0,6.43265352881751,5.45276494455544,6.0431934522498,0,0,5.66960511381746,0,5.91693375829023,0,0,6.44567479274233,5.46589917092941,6.21715835123465,4.84159241880364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5.07175361680645,0,5.58200830950353,0,0,5.22857694878842,0,5.95950704431306,0,0,5.83124322248838,0,5.2304681245816,0,0,5.9081089632623,0,5.48179365587496,0,0,5.44497081551454,4.93536441729202,0,5.58190044259241,5.89379589033306,0,5.36576121700447,0,0,4.98007437773681,5.67507466940239,5.68163025951171,5.18615950289371,0,5.21748299645243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4.97105206655826,0,0,0,6.41174813737147,5.56344540270802,5.8637632161965,0,0,5.3950164607977,0,5.21119269397959,0,5.27629330826499,6.61427902716894,0,0,0,0,5.13273996082406,5.48179365587496,0,0,0,5.27797733767834,0,0,6.40586375949013,6.14272218689488,0,5.09938256912343,0,0,0,6.07715902119813,0,4.98779806035429,0,5.278389862353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5.18227268617872,0,0,0,0,0,0,0,4.91045649641169,0,0,0,0,0,4.06280172030251,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99251806173799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96239366715177,0,0,0,0,4.92457962275798,0,0,6.43265352881751,0,0,0,0,5.45683248975339,6.09704122588598,0,0,5.12054319352939,0,5.76034575275136,0,0,6.39675170353571,4.96547402424546,6.02806144779909,0,0,0,4.93766718996035,5.27744441709956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5.24327504750442,5.5470618847519,6.04225051500683,0,0,5.60146410701331,0,6.2667755363853,0,6.47019863925472,5.70177290550768,0,5.13795455090174,0,0,5.45276494455544,5.44497081551454,5.27797733767834,0,5.45683248975339,0,5.24986752704485,0,0,6.01316056715373,0,5.78318760295362,0,0,5.8171094673074,5.3388543166548,6.74228851965025,5.32730532430262,0,5.14122722450174,5.91308990324428,5.84264884740568,0,5.62512275705335,0,0,0,5.45779916733094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61952841759028,0,0,0,0,0,0,0,0,0,5.12486908227909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06888005919625,0,0,0,0,4.8802014831905,0,0,6.0431934522498,4.93536441729202,0,0,6.09704122588598,5.24986752704485,0,0,0,5.14873792895395,0,6.21602025744655,0,0,5.67360686486697,5.42548475285879,6.22931339257606,4.84608607421112,0,0,4.88030268274657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5.18197284211001,0,4.52919603630105,0,0,0,0,0,0,4.96299499416694,4.17684638718596,0,0,0,0,0,0,0,0,0,0,4.15785642568456,0,0,4.04323862253735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5.75987314786517,0,5.31715974612605,0,0,0,0,5.0189364755668,0,0,6.36677218394563,0,0,0,0,0,5.58190044259241,6.40586375949013,0,0,0,0,0,0,5.84964131114564,0,5.34259128019874,0,0,0,6.42358311967821,0,4.97387795017318,0,5.61489163601303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5.36386221072333,5.28400834786221,0,0,0,6.45066212518515,5.91340551271575,6.31078503609866,5.15543581105859,0,5.71406061744794,0,5.99983535536809,5.34401851132661,5.72838588866505,6.62446415593837,5.05983974338473,0,0,0,5.66960511381746,5.89379589033306,6.14272218689488,0,5.12054319352939,6.01316056715373,5.14873792895395,0,5.84964131114564,0,0,6.22573059020686,0,0,5.44800577617354,5.99813475978806,5.6920176166705,5.25670875257745,0,5.46764019092951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15785642568456,0,0,0,0,0,3.9637335602976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
